ExitID,NodeID,FacilityID,Name,出入口の有効幅員,扉の種類,段差
00001B000000000309A86FA59A6B1981,00001B000000000309A86FA59A6B18C1,00001B000000000309A876A59A671A01,矢場町駅２出入口,3,6,0
00001B000000000309A98D259B989981,00001B000000000309A98D259B98FFC1,00001B000000000309A98BA59B9C1B81,東区役所出入口,1,1,0
00001B000000000309A972259B8E9981,00001B000000000309A972259B8EFFC1,00001B000000000309A971A59B911B81,東警察署出入口,3,3,0
00001B000000000309A922259BC29981,00001B000000000309A922259BC298C3,00001B000000000309A920A59BD91A01,車道駅４出入口,3,0,0
00001B000000000309A928A59BC41981,00001B000000000309A928A59BC418C3,00001B000000000309A920A59BD91A01,車道駅１出入口,3,0,0
00001B000000000309A91D259BD818C2,00001B000000000309A91D259BD81883,00001B000000000309A920A59BD91A01,車道駅エレベーター,0,1,0
00001B000000000309A918259BED1981,00001B000000000309A918259BED18C3,00001B000000000309A920A59BD91A01,車道駅３出入口,3,0,0
00001B000000000309A922A59BEB9981,00001B000000000309A922A59BEB98C2,00001B000000000309A920A59BD91A01,車道駅２出入口,3,0,0
00001B000000000309AA22259D019981,00001B000000000309AA22259D01FFC1,00001B000000000309AA1AA59CE79A81,イオン大曽根ショッピングセンター北出入口,2,1,0
00001B000000000309AA3B259D141981,00001B000000000309AA3B259D147FC1,00001B000000000309AA29A59D189B81,カルポート東出入口,2,1,0
00001B000000000309AA6FA59C5D18C2,00001B000000000309AA6FA59C5D1882,00001B000000000309AA70259C599A01,大曽根駅エレベーター,0,1,0
00001B000000000309AA64259C5A9981,00001B000000000309AA64259C5A98C1,00001B000000000309AA70259C599A01,ＯＺ ｇａｒｄｅｎ Ｅ４出入口,3,0,0
00001B000000000309AA6A259C5C9981,00001B000000000309AA6A259C5C98C2,00001B000000000309AA70259C599A01,ＯＺ ｇａｒｄｅｎ Ｅ３出入口,2,0,0
00001B000000000309AA71259C5D1981,00001B000000000309AA71259C5D7FC1,00001B000000000309AA70259C599A01,大曽根駅Ｅ２出入口,2,0,0
00001B000000000309AA72259C5E9981,00001B000000000309AA72259C5E98C2,00001B000000000309AA70259C599A01,大曽根駅Ｅ１出入口（階段）,3,0,0
00001B000000000309AA72A59C5E9981,00001B000000000309AA72A59C5E98C2,00001B000000000309AA70259C599A01,大曽根駅Ｅ１出入口（エスカレーター）,2,0,0
00001B000000000309AA73259C5E9981,00001B000000000309AA73259C5E98C1,00001B000000000309AA70259C599A01,大曽根駅Ｅ１出入口（階段）,3,0,0
00001B000000000309AA72259C689981,00001B000000000309AA72259C6898C2,00001B000000000309AA4AA59C649A01,大曽根駅,3,0,0
00001B000000000309AA7C259C601981,00001B000000000309AA7C259C607FC1,00001B000000000309AA4AA59C649A01,大曽根駅センタービル出入口,2,0,0
00001B000000000309AA5FA59C511981,00001B000000000309AA5FA59C5118C1,00001B000000000309AA70259C599A01,大曽根駅Ｅ５出入口,2,0,0
00001B000000000309AA69259C4B9981,00001B000000000309AA69259C4B98C1,00001B000000000309AA70259C599A01,大曽根駅Ｅ６出入口,3,0,0
00001B000000000309AA81A59C581981,00001B000000000309AA81A59C5818C2,00001B000000000309AA70259C599A01,大曽根駅５出入口,3,0,0
00001B000000000309AAB4A59BD99981,00001B000000000309AAB4A59BD9FFC2,00001B000000000309AAB7A59BDF9A01,平安通駅２出入口,3,6,0
00001B000000000309AABDA59BDC9981,00001B000000000309AABDA59BDCFFC2,00001B000000000309AAB7A59BDF9A01,平安通駅３出入口,3,6,0
00001B000000000309AABBA59BE29981,00001B000000000309AABBA59BE2FFC2,00001B000000000309AAB7A59BDF9A01,平安通駅４出入口,3,6,0
00001B000000000309AAC6259BE29981,00001B000000000309AAC6259BE2FFC2,00001B000000000309AAB7A59BDF9A01,平安通駅５出入口,2,6,0
00001B000000000309AAAEA59BE31981,00001B000000000309AAAEA59BE37FC1,00001B000000000309AAB7A59BDF9A01,平安通駅１出入口,3,6,0
00001B000000000309A935259AE61981,00001B000000000309A935259AE67FC1,00001B000000000309A938A59AE41A81,高岳福祉会館出入口,2,1,0
00001B000000000309A92C259AF19981,00001B000000000309A92C259AF198C3,00001B000000000309A930259AE31A01,高岳駅３出入口,3,0,0
00001B000000000309A932A59AF29981,00001B000000000309A932A59AF298C2,00001B000000000309A930259AE31A01,高岳駅２出入口,3,0,0
00001B000000000309A99BA59A361981,00001B000000000309A99BA59A367FC1,00001B000000000309A99BA59A3E1D01,愛知県庁出入口,1,3,0
00001B000000000309A996A59A221981,00001B000000000309A996A59A227FC1,00001B000000000309A998259A1B1F01,愛知県庁西庁舎出入口,2,1,0
00001B000000000309A997A59A261981,00001B000000000309A997A59A2618C2,00001B000000000309A9B0A59A279A01,市役所駅４出入口,3,0,0
00001B000000000309A99B259A361981,00001B000000000309A99B259A367FC5,00001B000000000309A99BA59A3E1D01,愛知県庁出入口,1,3,0
00001B000000000309A9B0A59A339981,00001B000000000309A9B0A59A33FFC1,00001B000000000309A9B2259A3B1C01,名古屋市役所本庁舎出入口,3,3,0
00001B000000000309A9B1259A339981,00001B000000000309A9B1259A33FFC2,00001B000000000309A9B2259A3B1C01,名古屋市役所本庁舎出入口,3,3,0
